txid;index;created_block;value;fanin;fanout;fanout_share;total_value;spent_block;life;label
6228f8b1925dc9582b27bdbbcc9f50948138e1688517e680beb0a7ef4982edfe;1;643358;0.00292558;1;2;0.8279529419755427;0.00353351;643497;139;0
ea852240de918925f9fc98379429fd212226489455c9e10700a86747c391f2f1;2;588515;6.97850348;1;101;0.018162990805019708;384.21554879999997;643511;54996;1
2d0eaab67466224641390b51bbc41a2e11e722026b8c509f0b17c0c634dc67d9;0;643364;0.02613688;1;2;0.2987609769758557;0.08748425;643504;140;0
55df1785297e808f823f2ec080517d16966f0e81b10a3afb85892f3b1aef94ad;0;443399;0.0361738;3;2;0.2656443456817684;0.1361738;643509;200110;1
41baaede3e0a5faf1dbe8154844560caba51e671bc0ecdc3410c5452306b9fd8;19;643492;0.04264;1;22;0.006555609899675707;6.50435286;643499;7;0
18fff57307aaa6c363ea67be61407d8991011c9f712823e72210f7ef7893d308;12;481367;2.01;1;76;0.02736813473306803;73.44307603000003;643517;162150;1
3c9e6445026550bc92d8ac01880c286f965ed4a34f305877fa0cedf5375548f7;1;643490;0.19911558;6;2;0.9863089140340282;0.20187952999999997;643499;9;0
ff7a225fa80836314db3c14f8dae0335018a5e9bf242e9f8e16836079be2dd68;1;476961;0.1;2;2;0.6206215922444147;0.16112878;643514;166553;1
c0d983cdae675496fa70d50e8f94a15b360c5621b122b337ebf7d6cb9c791b00;1;643513;5.46e-06;1;3;8.557533528251797e-06;0.63803431;643514;1;0
ba0b32edc5f77b4d5490ac0d10880f8294cfe70c67aa42ec1d7f3a241250243a;1;587129;5.46e-06;1;3;4.950123875490061e-05;0.11030026999999999;643520;56391;1
ff8add5925257adcfebe44dfc155066dd55fb861c8a5d886e84a958c566a33b3;401;550135;0.04001197;5;971;0.000800244803893111;49.999662360000045;643503;93368;1
0586d0534d3f90c0e3d8ba53ff4f2ef4246ac2fab130dd6161626ff2cc8b8a96;0;643502;0.1;1;2;0.10926933160507132;0.9151698699999999;643502;0;0
d9164ea66fd14a27c94c2bcbb6c51599959ad7b3320133d2b9e8e8100953df81;1;643499;0.10417725;1;2;0.6676263488019994;0.15604125;643499;0;0
f13b64916c74d9e62ed92c092a3080a0f438aa48d8d480d2a796331524e89342;1;643502;5.46e-06;1;3;0.00041660880433273156;0.01310582;643504;2;0
d339d08162705267626ceb2041d192d84ec63d1ef3a2a1ec80970d48b121f40b;0;643415;0.08394086;2;2;0.04027986667529519;2.0839408600000002;643504;89;0
24ba7316b708b0bba6e6f64d4bc8528cc11d076949479a971f6b888137058199;0;587823;0.00198524;1;2;0.33168928898423455;0.00598524;643497;55674;1
6c92dd27fcddf4c525a269c3ca7b280fa92f48fbe76d1b6f52d59ba0dfa8feac;2;643490;0.0062208;1;5;0.0024225793272350626;2.56784161;643491;1;0
44a5f45886d7111c43aaf7ff38c62ec320bafa2cd8e9403b92ba10f35e486172;1;588794;0.00186272;2;2;0.9725067610604684;0.00191538;643504;54710;1
f4bc96f670775b0d7bdc89168f58fed922aad028b4557f50fc956517c2312e1e;1;575514;0.01126015;1;2;0.9370347655239045;0.01201679;643516;68002;1
fcd422bd08a88fc27e1aa40d4436a735e24ef10ce00298270923aabb7a76c750;856;535273;0.03001693;6;952;0.0005002849404131379;59.99966734;643519;108246;1
44092d2d797297f3004f7de9eba5ce18d76f6d60a24d6159a80a414a3f182be2;0;470984;0.2;1;2;0.6785244928512866;0.29475723;643505;172521;1
1a9f1dd63e6a144d5ea939c0296a8939c5319fd5c63f84df17bd0ffd65f64d8c;8;643510;0.00459;1;35;0.0009417380114766099;4.873967010000002;643512;2;0
b4cff9a9bfe9c5a889f2d2edda27435b71116d1fcf34008cc309e600e1e36489;5;643496;0.00636232;1;21;0.014343410970223205;0.44357092000000004;643497;1;0
2aa3206f5e94560aa9eb3a4c822a927f67fb04e1eeac69d128642abd725cf9ae;0;556685;0.000286;15;2;0.0001714334352742875;1.668286;643517;86832;1
95131fa9f01e98d837492ffdb3eaac8b9de433c660859ecc5e658453e7644e46;0;643407;0.11994208;5;1;1.0;0.11994208;643496;89;0
53f35cc76a3366e4e2f85c5d78652e94ac6c816e38446c4afc15db840fe3f214;1;643503;0.07399598;1;2;0.9444087010292699;0.07835165000000001;643503;0;0
